paper_id,title,authors,year,doi,url,source,license,open_access,access_date,pdf_path
PAPER_0001,Segment Anything,Alexander Kirillov; Eric Mintun; Nikhila Ravi; Hanzi Mao; Chloe Rolland; TODO remaining authors,2023,10.1109/iccv51070.2023.00371,https://doi.org/10.1109/iccv51070.2023.00371,OpenAlex,TODO,false,2026-05-24,data/papers/Segment Anything.pdf
PAPER_0002,Masked Autoencoders Are Scalable Vision Learners,Kaiming He; Xinlei Chen; Saining Xie; Yanghao Li; Piotr Dollár; TODO remaining author,2021,10.48550/arXiv.2111.06377,https://arxiv.org/abs/2111.06377,arXiv,CC-BY,true,2026-05-24,data/papers/PAPER_0002.pdf
PAPER_0003,Learning Transferable Visual Models From Natural Language Supervision,Alec Radford; Jong Wook Kim; Chris Hallacy; Aditya Ramesh; Gabriel Goh; TODO remaining authors,2021,10.48550/arXiv.2103.00020,https://arxiv.org/abs/2103.00020,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0003.pdf
PAPER_0004,Grounding DINO: Marrying DINO with Grounded Pre-training for Open-Set Object Detection,Shilong Liu; Zhaoyang Zeng; Tianhe Ren; Feng Li; Hao Zhang; TODO remaining authors,2024,10.1007/978-3-031-72970-6_3,https://doi.org/10.1007/978-3-031-72970-6_3,Lecture notes in computer science,TODO,false,2026-05-24,data/papers/PAPER_0004.pdf
PAPER_0005,End-to-End Object Detection with Transformers,Nicolas Carion; Francisco Massa; Gabriel Synnaeve; Nicolas Usunier; Alexander Kirillov; TODO remaining author,2020,10.48550/arXiv.2005.12872,https://arxiv.org/abs/2005.12872,arXiv,public-domain,true,2026-05-24,data/papers/PAPER_0005.pdf
PAPER_0006,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Alexey Dosovitskiy; Lucas Beyer; Alexander Kolesnikov; Dirk Weissenborn; Xiaohua Zhai; TODO remaining authors,2020,10.48550/arXiv.2010.11929,https://arxiv.org/abs/2010.11929,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0006.pdf
PAPER_0007,wav2vec 2.0: A Framework for Self-Supervised Learning of Speech Representations,Alexei Baevski; Yuhao Zhou; Abdelrahman Mohamed; Michael Auli,2020,TODO,https://proceedings.neurips.cc/,Neural Information Processing Systems,TODO,false,2026-05-24,data/papers/PAPER_0007.pdf
PAPER_0008,Robust Speech Recognition via Large-Scale Weak Supervision,Alec Radford; Jong Wook Kim; Tao Xu; Greg Brockman; Christine McLeavey; TODO remaining author,2022,10.48550/arXiv.2212.04356,https://arxiv.org/abs/2212.04356,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0008.pdf
PAPER_0009,Natural TTS Synthesis by Conditioning Wavenet on MEL Spectrogram Predictions,Jonathan Shen; Ruoming Pang; Ron J. Weiss; Mike Schuster; Navdeep Jaitly; TODO remaining authors,2018,10.1109/icassp.2018.8461368,https://doi.org/10.1109/icassp.2018.8461368,OpenAlex,TODO,false,2026-05-24,data/papers/PAPER_0009.pdf
PAPER_0010,MusicLM: Generating Music From Text,TODO,TODO,TODO,TODO,TODO,TODO,TODO,2026-05-24,data/papers/PAPER_0010.pdf
PAPER_0011,HuBERT: Self-Supervised Speech Representation Learning by Masked Prediction of Hidden Units,Wei-Ning Hsu; Benjamin Bolte; Yao-Hung Hubert Tsai; Kushal Lakhotia; Ruslan Salakhutdinov; TODO remaining author,2021,10.48550/arXiv.2106.07447,https://arxiv.org/abs/2106.07447,arXiv,public-domain,true,2026-05-24,data/papers/PAPER_0011.pdf
PAPER_0012,AST: Audio Spectrogram Transformer,Yuan Gong; Yu-An Chung; James Glass,2021,10.21437/interspeech.2021-698,https://doi.org/10.21437/interspeech.2021-698,OpenAlex,TODO,false,2026-05-24,data/papers/PAPER_0012.pdf
PAPER_0013,Attention Is All You Need,Ashish Vaswani; Noam Shazeer; Niki Parmar; Jakob Uszkoreit; Llion Jones; TODO remaining authors,2017,10.48550/arXiv.1706.03762,https://arxiv.org/abs/1706.03762,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0013.pdf
PAPER_0014,BERT: Pre-training of deep bidirectional transformers for language understanding,Jacob Devlin,2024,10.57702/xvg4jrkz,https://doi.org/10.57702/xvg4jrkz,TIB Data Manager,TODO,true,2026-05-24,data/papers/PAPER_0014.pdf
PAPER_0015,Language Models are Few-Shot Learners,Tom B. Brown; Benjamin Mann; Nick Ryder; Melanie Subbiah; Jared Kaplan; TODO remaining authors,2020,10.48550/arXiv.2005.14165,https://arxiv.org/abs/2005.14165,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0015.pdf
PAPER_0016,LLaMA: Open and Efficient Foundation Language Models,TODO,TODO,TODO,TODO,TODO,TODO,TODO,2026-05-24,data/papers/PAPER_0016.pdf
PAPER_0017,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Patrick Lewis; Ethan Perez; Aleksandra Piktus; Fabio Petroni; Vladimir Karpukhin; TODO remaining authors,2020,TODO,https://discovery.ucl.ac.uk/id/eprint/10100504/,UCL Discovery,TODO,false,2026-05-24,data/papers/PAPER_0017.pdf
PAPER_0018,Self-Instruct: Aligning Language Models with Self-Generated Instructions,Yizhong Wang; Yeganeh Kordi; Swaroop Mishra; Alisa Liu; Noah A. Smith; TODO remaining authors,2022,10.48550/arXiv.2212.10560,https://arxiv.org/abs/2212.10560,arXiv,CC-BY,true,2026-05-24,data/papers/PAPER_0018.pdf
PAPER_0019,Adafactor: Adaptive Learning Rates with Sublinear Memory Cost,Noam Shazeer; Mitchell Stern,2018,10.48550/arXiv.1804.04235,https://arxiv.org/abs/1804.04235,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0019.pdf
PAPER_0020,Adam: A Method for Stochastic Optimization,Diederik P. Kingma; Jimmy Ba,2014,10.48550/arXiv.1412.6980,https://arxiv.org/abs/1412.6980,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0020.pdf
PAPER_0021,Decoupled Weight Decay Regularization,Ilya Loshchilov; Frank Hutter,2017,10.48550/arXiv.1711.05101,https://arxiv.org/abs/1711.05101,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0021.pdf
PAPER_0022,Incorporating Nesterov Momentum into Adam,Timothy Dozat,2016,TODO,https://openreview.net/,OpenReview,TODO,false,2026-05-24,data/papers/PAPER_0022.pdf
PAPER_0023,Symbolic Discovery of Optimization Algorithms,Xiangning Chen; Chen Liang; Da Huang; Esteban Real; Kaiyuan Wang; TODO remaining authors,2023,10.48550/arXiv.2302.06675,https://arxiv.org/abs/2302.06675,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0023.pdf
PAPER_0024,Deep reinforcement learning from human preferences,Paul Christiano; Jan Leike; Tom B. Brown; Miljan Martic; Shane Legg; TODO remaining author,2017,10.48550/arXiv.1706.03741,https://arxiv.org/abs/1706.03741,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0024.pdf
PAPER_0025,GRPO-LEAD: A Difficulty-Aware Reinforcement Learning Approach for Concise Mathematical Reasoning in Language Models,TODO,TODO,TODO,TODO,TODO,TODO,TODO,2026-05-24,data/papers/PAPER_0025.pdf
PAPER_0026,Implementing the Deep Q-Network,Melrose Roderick; James MacGlashan; Stefanie Tellex,2017,10.48550/arXiv.1711.07478,https://arxiv.org/abs/1711.07478,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0026.pdf
PAPER_0027,"Mastering Atari, Go, Chess and Shogi by Planning with a Learned Model",Julian Schrittwieser; Ioannis Antonoglou; Thomas Hubert; Karen Simonyan; Laurent Sifre; TODO remaining authors,2019,10.48550/arXiv.1911.08265,https://arxiv.org/abs/1911.08265,arXiv,TODO,true,2026-05-24,data/papers/PAPER_0027.pdf
PAPER_0028,Proximal policy optimization algorithm for dynamic pricing with online reviews,Chao Wu; Wenjie Bi; Haiying Liu,2022,10.1016/j.eswa.2022.119191,https://doi.org/10.1016/j.eswa.2022.119191,Expert Systems with Applications,TODO,false,2026-05-24,data/papers/PAPER_0028.pdf
PAPER_0029,VOYAGER: An Open-Ended Embodied Agent with Large Language Models,TODO,TODO,TODO,TODO,TODO,TODO,TODO,2026-05-24,data/papers/PAPER_0029.pdf
PAPER_0030,Lion Secretly Solves Constrained Optimization: As Lyapunov Predicts,Lizhang Chen; Bo Liu; Kaizhao Liang; Qiang Liu,2023,10.48550/arXiv.2310.05898,https://arxiv.org/abs/2310.05898,arXiv,CC-BY-NC-SA,true,2026-05-26,data/papers/PAPER_0030.pdf
